TURN_NAME,TEXT
Ses05M_script01_1b_F000,What's he going to say?  Maybe we ought to tell him before he sees it.
Ses05M_script01_1b_M000,He saw it.
Ses05M_script01_1b_F001,"What do you mean?  I was the first one up, he was still in bed."
Ses05M_script01_1b_M001,He was out here when it broke.
Ses05M_script01_1b_F002,When?
Ses05M_script01_1b_M002,About four this morning.  I heard it crack and I looked out the window and he was standing right there when it cracked.
Ses05M_script01_1b_F003,What was he doing out here four in the morning?
Ses05M_script01_1b_M003,"I don't know.  But after he saw it, he ran back into the house and started crying in the kitchen."
Ses05M_script01_1b_F004,Did you talk to him?
Ses05M_script01_1b_M004,No.  I figured it was best to leave him alone.
Ses05M_script01_1b_F005,He's dreaming about him again.  He's getting just like after Larry died. What's the meaning of that?
Ses05M_script01_1b_M005,"Yes, yes he is.  I don't know the meaning in it.  But I know one thing, mom, we made a terrible mistake with Dad."
Ses05M_script01_1b_F006,What?
Ses05M_script01_1b_M006,Being dishonest with him.  It's the kind of thing that pays off and now it's paying off.
Ses05M_script01_1b_F007,What do you mean dishonest?
Ses05M_script01_1b_M007,You know that Larry's not coming back and I know it.  So why do we go on letting him think that we believe with him?
Ses05M_script01_1b_F008,"What are you gonna do, argue with him?"
Ses05M_script01_1b_M008,I don't want to argue with him.  But it's time that he knows that nobody else believes that Larry's alive. I mean
Ses05M_script01_1b_M009,"Why shouldn't he dream about him, walk the nights waiting for him?  Do we contradict him?  Do we say outright that we don't have any hope anymore?  That we haven't had any hope for a long time?"
Ses05M_script01_1b_F009,"Well, how are you gonna prove it?  Can you prove it?"
Ses05M_script01_1b_M010,"For Gods sake, three years!  Nobody comes back after three years.  It's insane!"
Ses05M_script01_1b_F010,"To you it is and to me, but not to him."
Ses05M_script01_1b_F011,You can talk yourself blue in the face but there's no body and there's no grave.  So where are you?
Ses05M_script01_1b_M011,"Sit down, mom.  I want to talk to you."
Ses05M_script01_1b_F012,"The trouble is the God damn newspapers, I mean, ea- each week a new boy turns up out of nowhere.  So the next one is gonna be Larry.  So you--"
Ses05M_script01_1b_M012,"All right.  All right, just listen."
Ses05M_script01_1b_M013,"You know why I invited Annie, right?"
Ses05M_script01_1b_F013,Why?
Ses05M_script01_1b_M014,You know.
Ses05M_script01_1b_F014,"Well, I've got an idea but what's the story?"
Ses05M_script01_1b_M015,I'm gonna ask her to marry me.
Ses05M_script01_1b_F015,"Well, that's your business, Chris."
Ses05M_script01_1b_M016,You know it's not just my business.
Ses05M_script01_1b_F016,"What do you want me to do?  I mean, You're old enough to know your own mind."
Ses05M_script01_1b_M017,So it's all right then?  I should just go ahead with it?
Ses05M_script01_1b_F017,"Well, you want to make sure that your father isn't gonna --"
Ses05M_script01_1b_M018,"So it isn't just my business?  You infuriate me sometime, you know that."
Ses05M_script01_1b_M019,"Isn't it your business, too, if I tell dad and he throws a fit about it?  You have such a talent for ignoring things."
Ses05M_script01_1b_F018,"I ignore what I got to ignore.  I mean, the girl is Larry's girl."
Ses05M_script01_1b_M020,She's not Larry's girl.
Ses05M_script01_1b_F019,"As far as your father is concerned, he's not dead.  And she's still his girl."
Ses05M_script01_1b_F020,"Now, you can go on with this if you know where to go, but I don't know where to go."
Ses05M_script01_1b_M021,"I don't know why it is but every time I reach out for something that I want, I have to pull back because it might hurt somebody else, my whole bloody life, time after time, after time."
Ses05M_script01_1b_F021,"Well, you're a considerate fella.  There's nothing wrong with that."
Ses05M_script01_1b_M022,what to hell with that!
Ses05M_script01_1b_F022,Have you asked Annie yet?
Ses05M_script01_1b_M023,I wanted to get this settled first.
Ses05M_script01_1b_F023,"Well, how do you know she'll marry you?  Maybe she feels like your father does."
Ses05M_script01_1b_M024,"Well, if she does then that's the end of it.  But from her letters it seems like she's forgotten him."
Ses05M_script01_1b_M025,"I'll find out and then we'll thrash it out with dad, all right?  Mom, don't avoid me."
Ses05M_script01_1b_F024,The trouble is you don't see enough women.  You never did.
Ses05M_script01_1b_M026,"So what, I'm not fast with women?"
Ses05M_script01_1b_F025,I just don't see why it has to be Annie.
Ses05M_script01_1b_M027,Because it is.
Ses05M_script01_1b_F026,"Well, that's a good reason.  But it don't mean a thing. I mean, You haven't seen her since you went to war.  It's been five years."
Ses05M_script01_1b_M028,"[garbage] I don't know.  It's just,"
